Date Time,Address,Latitude,Longitude,Resolved Address,Minimum Temperature,Maximum Temperature,Temperature,Precipitation,Precipitation %,Wind speed,Wind gust,Visibility
06/09/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",61.07,71.87,66.05,1.06,41.67,11.05,29.75,6.07
06/10/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",60.89,75.83,65.84,0.69,50,10.46,0,8.36
06/11/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",56.03,80.87,69.86,0.03,8.33,5.64,0,9.87
06/12/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",58.01,77.99,68.96,0.37,29.17,8.41,0,9.09
06/13/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",52.07,77.99,66.46,0.03,4.17,7.21,0,10
06/14/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",59.09,84.83,74.44,0,0,17.9,42.5,10
06/15/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.03,82.85,73.45,0.4,16.67,10.81,42.28,9.18
06/16/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,88.97,80.52,0.03,4.17,15.62,42.5,9.57
06/17/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",76.91,87.89,82.77,0,0,15.03,32.21,9.44
06/18/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",76.01,89.87,82.64,0,0,12.77,32.21,9.87
06/19/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",74.03,85.91,79.16,0.44,12.5,10.96,0,9.31
06/20/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",70.07,92.93,81.12,0.05,8.33,4.81,0,9.44
06/21/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",71.15,90.95,79.97,0,0,6.3,0,9.96
06/22/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,90.95,80.46,1.14,20.83,8.04,33.33,9.46
06/23/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",65.03,82.85,72.75,0.09,16.67,5.16,0,10
06/24/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",61.07,84.83,73.94,0,0,3.5,0,9.27
06/25/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",64.13,87.89,76.97,0,0,4.85,0,8.89
06/26/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,88.97,78.99,0,0,8.95,0,9.87
06/27/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",74.93,83.93,78.94,0.04,12.5,12.8,33.11,9.79
06/28/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",69.17,83.93,75.87,0.09,16.67,10.96,31.09,9.7
06/29/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",67.01,88.97,79.28,0.02,8.33,9.92,0,8.32
06/30/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",74.93,93.83,83.87,0,0,14.88,38.03,8.7
07/01/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",67.01,85.01,74.88,0,0,8.91,0,9.7
07/02/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",53.15,74.03,64.11,0,0,8.3,32.21,9.62
07/03/2014,"lawrence, ks",38.97307,-95.23618,"lawrence, ks",50.09,81.95,67.51,0,0,3.71,0,9.36
